Course #	Section #	Course Name	Instructor id	days	beg_tm	end_tm	Number of Slots	Seating type	 Whiteboard	 Chalkboard	 Computer/Laptop	 Sound System	 CD Player	 DVD Player	 Video Projector	 Hearing Assisted System	 Visual Optimizer	 Laptop Connectivity	 Network Connections	 Overhead Projector	 Podium	 Projector Screen	 TV/Monitors	 Piano
ECON356	1	INTERNATIONAL ECONOMICS	123456	--T-R--	1000	1150	30	group																
ECON357	1	MONEY & BANKING	123456	-M-W-F-	1200	1310	30	group																
ECON357	2	MONEY & BANKING	123456	-M-W-F-	1320	1430	30	group																
ECON359	1	PUBLIC SECTOR ECONOMICS	123456	-M-W-F-	1200	1310	30	group																
ECON360	1	COMPARATIVE ECON SYSTEMS	123456	-M-W-F-	920	1030	30	group																
ECON372	1	ECON OF DEVELOPING COUNTRIES	123456	--T-R--	1400	1550	30	group																
ECON425	1	ECONOMETRICS	123456	--T-R--	1200	1350	30	group																
EDUC180	1	INTRO TO SIGN LANGUAGE	123456	--T-R--	900	950	30	group																
EDUC206	1	EDUCATION IN AMERICA	123456	-M-W-F-	920	1030	30	group																
EDUC206	2	EDUCATION IN AMERICA	123456	-M-W---	1440	1630	30	group																
EDUC286	1	LANGUAGE ACQUISITION & READING	123456	--T-R--	1200	1350	30	group																
EDUC296	1	LANG ACQUIS/PHONEMIC AWARENESS	123456	--T----	1800	1950	30	group																
EDUC336	1	EXCEPTIONALITY	123456	-M-W-F-	1040	1150	30	group																
EDUC336	2	EXCEPTIONALITY	123456	-M-W-F-	1200	1310	30	group																
EDUC368	1	EDUCATIONAL PSYCHOLOGY	123456	--T-R--	1000	1150	30	group																
EDUC368	2	EDUCATIONAL PSYCHOLOGY	123456	--T-R--	1200	1350	30	group																
EDUC491	1	ESL ACROSS THE CURRICULUM	123456	--T-R--	1800	1950	30	group																
ENGL101	1	INTRO TO WRITING	123456	--T-R--	1000	1150	30	group																
ENGL101	2	INTRO TO WRITING	123456	--T-R--	1400	1550	30	group																
ENGL101	3	INTRO TO WRITING	123456	--T-R--	1000	1150	30	group																
ENGL106	1	INTRO TO LITERATURE	123456	-M-W---	1800	1950	30	group																
ENGL106	2	INTRO TO LITERATURE	123456	-M-W---	1440	1630	30	group																
ENGL130	1	LITERARY TOPICS:AMERICAN FANTASY	123456	-M-W-F-	920	1030	30	group																
ENGL130	2	LITERARY TOPICS:Reading Nature	123456	-M-W-F-	1040	1150	30	group																
ENGL201	1	TOPICS IN WRITING:CREATIVE NONFICTION	123456	--T-R--	1800	1950	30	group																
ENGL204	1	READING/WRITING IN THE MAJOR	123456	-M-W-F-	1040	1150	30	group																
ENGL204	2	READING/WRITING IN THE MAJOR	123456	--T-R--	1400	1550	30	group																
